,start_station_name,num_of_trips
1176,Martin Luther King Dr & 44th St,6
1564,Martin Luther King Dr & 69th St,1
726,Maryland Ave & 104th St,257
1437,Maryland Ave & 87th ST,2
807,Mason Ave & Belmont Ave,135
1389,Mason Ave & Roosevelt Rd,2
1588,May St & 63rd St,1
682,May St & 69th St,352
397,May St & Cullerton St,6424
161,May St & Taylor St,29074
1122,Mayfield & Roosevelt Rd,8
56,McClurg Ct & Erie St,50123
272,McClurg Ct & Illinois St,15551
233,McClurg Ct & Ohio St,19750
1313,McCormick Blvd & Devon Ave,3
315,McCormick Place,11798
1266,McVicker Ave & Grand Ave,4
803,Meade Ave & Addison St,143
787,Meade Ave & Diversey Ave,162
1512,Melvina Ave & Belmont Ave,1
1578,Menard Ave & Adams Blvd,1
1245,Menard Ave & Agusta Blvd,4
1438,Menard Ave & Belmont Ave,2
1105,Menard Ave & Dakin St - midblock,9
922,Menard Ave & Division St,48
1322,Menard Ave & Grand Ave,3
1241,Menard Ave & Madison St,4
1010,Menard Ave & North Ave,21
1491,Michigan Ave & 102nd St,1
1455,Michigan Ave & 110th St,1
1517,Michigan Ave & 113th St,1
812,Michigan Ave & 114th St,130
1405,Michigan Ave & 119th St,2
118,Michigan Ave & 14th St,36004
167,Michigan Ave & 18th St,28489
719,Michigan Ave & 71st St,269
64,Michigan Ave & 8th St,48915
1467,Michigan Ave & 96th St,1
228,Michigan Ave & Ida B Wells Dr,20293
143,Michigan Ave & Jackson Blvd,31940
19,Michigan Ave & Lake St,65706
154,Michigan Ave & Madison St,30209
2,Michigan Ave & Oak St,101464
134,Michigan Ave & Pearson St,33280
20,Michigan Ave & Washington St,65293
846,Midway Orange Line,104
72,Mies van der Rohe Way & Chestnut St,47581
86,Mies van der Rohe Way & Chicago Ave,44313
561,Millard Ave & 26th St,981
4,Millennium Park,97343
1030,Milwaukee Ave & Addison St,17
515,Milwaukee Ave & Cuyler Ave,2064
886,Milwaukee Ave & Diversey Ave,68
494,Milwaukee Ave & Fullerton Ave,2490
76,Milwaukee Ave & Grand Ave,45562
987,Milwaukee Ave & Haussen Ct,29
311,Milwaukee Ave & Rockwell St,12219
1075,Milwaukee Ave & School St,12
130,Milwaukee Ave & Wabansia Ave,33595
1546,Milwaukee Ave & Waveland Ave,1
967,Monticello Ave & Belmont Ave,33
831,Monticello Ave & Chicago Ave,115
449,Monticello Ave & Irving Park Rd,3674
47,Montrose Harbor,52799
308,Morgan Ave & 14th Pl,12499
1409,Morgan St & 103rd St,2
297,Morgan St & 18th St,13460
359,Morgan St & 31st St,8430
1252,Morgan St & 87th St,4
1080,Morgan St & 95th St,11
97,Morgan St & Lake St,40378
422,Morgan St & Lake St*,5273
633,Morgan St & Pershing Rd,462
142,Morgan St & Polk St,31948
915,Mozart Elementary School,51
895,Mozart St & Jackson Blvd,63
1399,Mt Greenwood Library - North,2
1199,Mt Greenwood Library - South,5
725,Mulligan Ave & Wellington Ave,258
305,Museum of Science and Industry,12849
1385,Muskegon Ave & 89th St,2
505,N Carpenter St & W Lake St,2355
781,N Clark St & W Elm St,169
649,N Damen Ave & W Chicago Ave,424
377,N Green St & W Lake St,7694
1464,N Hampden Ct & W Diversey Ave,1
1044,N Narragansett Ave & Grand Ave,15
581,N Paulina St & Lincoln Ave,811
524,N Sheffield Ave & W Wellington Ave,1799
1413,N Shore Channel Trail & Argyle Ave,2
602,N Shore Channel Trail & Argyle St,632
552,N Southport Ave & W Newport Ave,1143
963,Nagle Ave & Belmont Ave,34
667,Narragansett & Irving Park,377
880,Narragansett & McLean,72
607,Narragansett & Wrightwood,606
1090,Narragansett Ave & Fullerton Ave,11
732,Narragansett Ave & School St,248
1042,Neva Ave & Grand Ave,16
1514,New England Ave & Grace St,1
71,New St & Illinois St,47748
907,NewHastings,56
946,Newcastle Ave & Belden Ave,39
1337,Newcastle Ave & Belmont Ave,3
1400,Newcastle Ave & Wellington Ave,2
1342,Newland Ave & Diversey Ave,2
197,Noble St & Milwaukee Ave,24486
834,Nordica & Medill,115
1440,Normal Ave & 72nd St,2
455,Normal Ave & Archer Ave,3434
924,North Ave & New England Ave,48
761,Oak Park & Wellington,191
395,Oakley Ave & Irving Park Rd,6445
527,Oakley Ave & Touhy Ave,1684
158,Ogden Ave & Chicago Ave,29674
382,Ogden Ave & Congress Pkwy,7322
178,Ogden Ave & Race Ave,26978
425,Ogden Ave & Roosevelt Rd,5174
738,Oglesby Ave & 100th St,235
1570,Oglesby Ave & 105th St,1
1221,Oglesby Ave & 95th St,5
838,Oketo Ave & Addison St,109
1187,Oketo Ave & Belmont Ave,5
1250,Oleander Ave & Addison St,4
890,Olive Harvey College,66
765,Orange & Addison,188
173,Orleans St & Chestnut St (NEXT Apts),27892
286,Orleans St & Elm St,14327
198,Orleans St & Hubbard St,24165
78,Orleans St & Merchandise Mart Plaza,44955
1416,Orville T Bright School,2
1390,Ozark Ave & Addison St,2
972,Panama Ave & Grace St,32
1460,Park Manor Elementary School,1
985,Parkside Ave & Armitage Ave,30
1579,Parnell Ave & 119th St,1
1499,Parnell Ave & 98th St,1
195,Paulina Ave & North Ave,24593
310,Paulina St & 18th St,12397
186,Paulina St & Flournoy St,25442
409,Paulina St & Howard St,5837
341,Paulina St & Montrose Ave,9619
1582,Pawel Bialowas - Test- PBSC charging station,1
1456,Penn Elementary School / KIPP Ascend Middle School,1
91,Peoria St & Jackson Blvd,42126
1319,Perry Ave & 108th Pl,3
612,Perry Ave & 69th St,584
578,Phillips Ave & 79th St,846
655,Phillips Ave & 83rd St,406
94,Pine Grove Ave & Irving Park Rd,41644
43,Pine Grove Ave & Waveland Ave,54845
698,Ping Tom Park (East),311
1338,Piotrowski Park,3
1289,Pittsburgh Ave & Irving Park,3
856,Plainfield & Irving Park,93
1583,Plainfield Ave & Irving Park Rd,1
481,Prairie Ave & 43rd St,2765
1022,Prairie Ave & 47th St - midblock,19
464,Prairie Ave & Garfield Blvd,3245
1445,Princeton Ave & 43rd St,1
538,Princeton Ave & 47th St,1396
562,Princeton Ave & Garfield Blvd,979
618,Prospect Sq & 91st St,544
1108,Pubic Rack - Pulaski Rd & 41st,9
1256,Public  Rack - Albany Ave & 63rd St,4
1550,Public Rack - 10557 S Western Ave,1
1138,Public Rack - 111th St - Morgan Park Metra,8
1174,Public Rack - 532 E 43rd St,6
1589,Public Rack - 53rd St & Indiana Ave,1
1348,Public Rack - 63rd & Western Ave N,2
1515,Public Rack - 63rd & Western Ave S,1
1511,Public Rack - Abbott Park,1
1269,Public Rack - Al Raby School,4
1561,Public Rack - Albany Ave & 111th St - NW,1
1280,Public Rack - Ashland Ave & 45th St,3
1327,Public Rack - Ashland Ave & 63rd St,3
1493,Public Rack - Ashland Ave & 71st St,1
1288,Public Rack - Ashland Ave & 76th St,3
1139,Public Rack - Ashland Ave & 83rd St,8
1236,Public Rack - Ashland Ave & 91st St,4
942,Public Rack - Austin Ave & Roscoe St,40
1576,Public Rack - Austin Ave & Wellington Ave,1
1011,Public Rack - Austin Ave & Wrightwood Ave,21
1270,Public Rack - Austin Blvd & North Ave,4
1533,Public Rack - Austin Branch Chicago Public Library,1
1519,Public Rack - Avenue J & 102nd St,1
1395,Public Rack - Avers Ave & Archer Ave,2
898,Public Rack - Avers Ave & Irving Park Rd,62
1040,Public Rack - Avers Ave & Ogden Ave,16
973,Public Rack - Avondale Ave & Addison St,31
1340,Public Rack - Baltimore Ave & 132nd St,2
1349,Public Rack - Bell Ave & 95th St,2
1386,Public Rack - Bensley Ave & 103rd St,2
1047,Public Rack - Brainerd Park,15
1504,Public Rack - Brighton Park Branch Chicago Library,1
1398,Public Rack - Buffalo Ave & 133rd St,2
1520,Public Rack - Buffalo Ave & 89th St,1
739,Public Rack - California Ave & Cortez St,230
1026,Public Rack - California Ave & Devon Ave - NE,18
956,Public Rack - California Ave & Devon Ave - NW,36
965,Public Rack - California Ave & Ogden Ave,34
1426,Public Rack - California Ave & Pershing Rd,2
927,Public Rack - California Ave & Touhy Ave - NW,45
1210,Public Rack - California Ave & Touhy Ave - SW,5
936,Public Rack - Calumet Ave & 51st St,42
978,Public Rack - Campbell Ave & Pratt Blvd,31
1091,Public Rack - Central Ave & Corcoran Pl,10
1098,Public Rack - Central Ave & George St,10
1168,Public Rack - Central Ave & North Ave,6
1387,Public Rack - Central Park Ave & 16th St,2
1226,Public Rack - Central Park Ave & Fillmore St,5
1320,Public Rack - Central Park Ave & Fulton Blvd,3
1120,Public Rack - Central Park Ave & Ogden Ave,8
1064,Public Rack - Champlain Ave & 65th St,13
1572,Public Rack - Chappel Ave & 71st St,1
1063,Public Rack - Chase Ave & Touhy Ave - NE,13
1161,Public Rack - Chase Ave & Touhy Ave - NW,6
968,Public Rack - Chopin Park,33
1585,Public Rack - Christiana Ave & 55th St,1
940,Public Rack - Christiana Ave & Archer Ave,41
769,Public Rack - Christiana Ave & Belmont Ave,185
1087,Public Rack - Christiana Ave & Bryn Mawr Ave,11
943,Public Rack - Christiana Ave & Lawrence Ave,40
1031,Public Rack - Cicero Ave & Altgeld St,17
1013,Public Rack - Cicero Ave & Cortland St - midblock,21
1193,Public Rack - Cicero Ave & Le Moyne St - midblock,5
1036,Public Rack - Cicero Ave & North Ave,17
932,Public Rack - Cicero Ave & Roscoe St,44
1038,Public Rack - Cicero Ave & Wellington Ave,16
795,Public Rack - Cicero Ave & Wrightwood Ave,151
1566,Public Rack - Claremont Ave & 71st St,1
1475,Public Rack - Clyde Ave & 87th St,1
1121,Public Rack - Colfax Ave & 83rd St,8
1380,Public Rack - Commercial Ave & 89th St,2
1406,Public Rack - Cornell Ave & 87th Pl,2
1420,Public Rack - Cottage Grove & 85th St,2
1424,Public Rack - Cottage Grove & 86th St,2
1296,Public Rack - Cottage Grove Ave & 87th St,3
1358,Public Rack - Cottage Grove Ave & 92nd St,2
1466,Public Rack - Cottage Grove Ave & 98th St,1
1505,Public Rack - Damen Ave & 47th St,1
1300,Public Rack - Division St & Christiana Ave,3
982,Public Rack - Drake Ave & Leland Ave,30
1494,Public Rack - East End Ave & 75th St,1
1065,Public Rack - Eberhart Ave & 61st St,12
1316,Public Rack - Eggleston Ave & 115th St,3
953,Public Rack - Eli Whitney Public School,36
1537,Public Rack - Ellis Ave & Doty Ave,1
1479,Public Rack - Emerald Ave & 43rd St,1
1425,Public Rack - Emerald Ave & 45th St,2
1001,Public Rack - Evans Ave & 63rd St,25
1412,Public Rack - Ewing Ave & 106th St,2
1258,Public Rack - Ewing Ave & 107th St,4
1468,Public Rack - Ewing Ave & 95th St,1
1518,Public Rack - Ewing Ave & 96th St S,1
1132,Public Rack - Exchange Ave & 73rd Pl,8
1084,Public Rack - Fairfield Ave & 63rd St,11
1218,Public Rack - Forrestville Ave & 47th St,5
1200,Public Rack - Francisco Ave & Touhy Ave,5
1148,Public Rack - Fullerton Ave & Lavergne Ave,7
957,Public Rack - Fullerton Ave & Narragansett Ave,35
1472,Public Rack - Garfield Park Conservatory,1
1294,Public Rack - Grand Ave & Lawndale Ave,3
1007,Public Rack - Grand Ave & North Ave,22
1133,Public Rack - Greenwood Ave & Lake Park Ave,8
1586,Public Rack - Halsted St & 102nd St,1
1531,Public Rack - Halsted St & 109th St,1
1469,Public Rack - Halsted St & 111th St,1
1541,Public Rack - Halsted St & 113th St,1
1577,Public Rack - Halsted St & 63rd St,1
1259,Public Rack - Halsted St & 64th St,4
1365,Public Rack - Halsted St & 76th St,2
1072,Public Rack - Halsted St & 95th St - SE,12
1276,Public Rack - Hamilton Ave & 95th St,3
1209,Public Rack - Hamlin Ave & Chicago Ave,5
737,Public Rack - Hamlin Ave & Fullerton Ave,242
930,Public Rack - Hamlin Ave & Grand Ave,44
1191,Public Rack - Hamlin Ave & Madison St,5
832,Public Rack - Hamlin Ave & Montrose Ave,115
917,Public Rack - Harold Washington Park,49
1471,Public Rack - Harper Ave & 63rd St,1
1503,Public Rack - Harriet E Sayre Public School,1
1243,Public Rack - Harvey Ave & North Ave,4
1262,Public Rack - Homan Ave & 26th St,4
1346,Public Rack - Homan Ave & Lake St,2
1480,Public Rack - Homan Ave & Roosevelt,1
1242,Public Rack - Houston Ave & 131st St,4
1023,Public Rack - Hoyne Ave & 110th Pl,19
1333,Public Rack - Hoyne Ave & 51st St,3
1159,Public Rack - Hyde Park Blvd & 53rd St,7
1000,Public Rack - Hyde Park Blvd & 55th St,25
1507,Public Rack - Independence Blvd & Roosevelt,1
1278,Public Rack - Jeffery Blvd & 81st St,3
1495,Public Rack - Jeffery Blvd & 83rd St,1
882,Public Rack - Jensen Park,70
918,Public Rack - Jonathan Y Scammon Public School,49
1163,Public Rack - Karlov Ave & 26th St,6
897,Public Rack - Karlov Ave & Kamerling Ave,62
994,Public Rack - Karlov Ave & Milwaukee Ave,26
1393,Public Rack - Kedvale Ave & 26th St,2
1529,Public Rack - Kedvale Ave & 63rd St,1
1053,Public Rack - Kedvale Ave & Addison St,14
1005,Public Rack - Kedvale Ave & Avondale Ave,23
1421,Public Rack - Kedzie & 103rd St - East,2
1510,Public Rack - Kedzie Ave & 54th Pl,1
1261,Public Rack - Kedzie Ave & 54th St - SE,4
1549,Public Rack - Kedzie Ave & 54th St - SW,1
1198,Public Rack - Kedzie Ave & 58th St,5
1344,Public Rack - Kedzie Ave & 60th St,2
1303,Public Rack - Kedzie Ave & 61st Pl,3
1244,Public Rack - Kedzie Ave & 61st Pl E,4
1097,Public Rack - Kedzie Ave & 61st Pl W,10
1162,Public Rack - Kedzie Ave & 62nd Pl,6
1373,Public Rack - Kedzie Ave & 63rd St,2
1360,Public Rack - Kedzie Ave & 64th St - SE,2
1201,Public Rack - Kedzie Ave & 64th St - SW,5
1078,Public Rack - Kedzie Ave & Archer Ave,11
818,Public Rack - Kedzie Ave & Argyle St,125
1444,Public Rack - Kedzie Ave & Arthington St,1
1274,Public Rack - Kedzie Ave & Chicago Ave,3
1568,Public Rack - Kedzie Ave & Pershing Rd,1
1355,Public Rack - Kedzie Ave & Walnut St,2
1463,Public Rack - Kedzie Ave &amp; 62nd Pl,1
1489,Public Rack - Keef Ave & South Chicago Ave,1
1591,Public Rack - Keeler Ave & 26th St,1
1275,Public Rack - Kenneth Ave & 63rd St E,3
873,Public Rack - Kenton Ave & Palmer St,78
902,Public Rack - Keystone Ave & Irving Park Rd,59
861,Public Rack - Keystone Ave & North Ave,90
960,Public Rack - Kilbourn Ave & Fullerton Ave,35
1545,Public Rack - Kildare Ave & 63rd St,1
980,Public Rack - Kildare Ave & Division St,30
1229,Public Rack - Kildare Ave & North Ave,5
1015,Public Rack - Kimball Ave & Carmen Ave,21
1371,Public Rack - Kimbark Ave & 63rd St,2
1006,Public Rack - Kimbark Ave & 67th St,23
954,Public Rack - King Dr & 115th St,36
1368,Public Rack - King Dr & 83rd St,2
1054,Public Rack - King Dr & Oakwood Blvd,14
1362,Public Rack - Kingston Ave & 75th St,2
1279,Public Rack - Kolin Ave & Archer Ave,3
1057,Public Rack - Komensky Ave & 26th St,13
1554,Public Rack - Komensky Ave & 59th St,1
1574,Public Rack - Kostner Ave & 16th St,1
824,Public Rack - Kostner Ave & Armitage Ave,122
992,Public Rack - Kostner Ave & Diversey Ave,27
1498,Public Rack - Kostner Ave & Lake St,1
997,Public Rack - Kostner Ave & North Ave,25
1307,Public Rack - Kostner Ave & Wrightwood Ave,3
1293,Public Rack - La Moyne Ave and Leamington Ave,3
1565,Public Rack - Lafayette Ave & 87th St SW,1
1077,Public Rack - Lafayette Ave & 95th St,11
1381,Public Rack - Laflin St & 51st St,2
964,Public Rack - Lake Shore Dr & Hayes Dr,34
1281,Public Rack - Lamon Ave & Erie St,3
1237,Public Rack - Langley Ave & 49th St,4
1230,Public Rack - Langley Ave & 79th St,5
1459,Public Rack - Langley Ave & 87th St,1
1407,Public Rack - Langley Ave & Oakwood Blvd,2
1500,Public Rack - Laporte Ave & Armitage Ave,1
977,Public Rack - Laramie Ave & Belmont Ave,31
988,Public Rack - Laramie Ave & Fullerton Ave,28
1017,Public Rack - Laramie Ave & Grand Ave,20
1093,Public Rack - Laramie Ave & Warwick Ave,10
1334,Public Rack - Latrobe Ave & Lake St,3
1548,Public Rack - Lawndale & 63rd St,1
1082,Public Rack - Lawndale Ave & 23rd St,11
1169,Public Rack - Lawndale Ave & 63rd St,6
764,Public Rack - Lawndale Ave & Diversey Ave,190
1155,Public Rack - Lawndale Ave & Polk St,7
1068,Public Rack - Leclaire Ave & Division St,12
1173,Public Rack - Legler Regional Library,6
1066,Public Rack - Linder Ave & Belmont Ave,12
859,Public Rack - Lockwood Ave & Diversey Ave,91
1212,Public Rack - Longwood Dr & 111th St,5
1465,Public Rack - Loomis Blvd & 83rd St,1
999,Public Rack - Loomis St & 87th St,25
1211,Public Rack - Lorel Ave & Chicago Ave,5
976,Public Rack - Lorel Ave & Grand Ave,31
810,Public Rack - Lowell Ave & Elston Ave,133
1235,Public Rack - Maplewood Ave & 47th St,4
1584,Public Rack - Maplewood Ave & 63rd St,1
1144,Public Rack - Marquette Rd & 67th St,7
1496,Public Rack - Marshfield Ave & 45th St,1
1376,Public Rack - Marshfield Ave & 87th St,2
1581,Public Rack - Martin Luther King Dr & 69th St,1
1388,Public Rack - May St & 78th St,2
955,Public Rack - McCormick Blvd & Devon Ave,36
1332,Public Rack - McVicker Ave & Grand Ave,3
1045,Public Rack - Melvina Ave & Belmont Ave,15
1443,Public Rack - Menard Ave & Adams Blvd,1
1394,Public Rack - Menard Ave & Agusta Blvd,2
1299,Public Rack - Menard Ave & Belmont Ave,3
995,Public Rack - Menard Ave & Dakin St - midblock,26
1039,Public Rack - Menard Ave & Grand Ave,16
1446,Public Rack - Michele Clark Magnet High School,1
1292,Public Rack - Michigan Ave & 107th St,3
1283,Public Rack - Michigan Ave & 113th St,3
1528,Public Rack - Michigan Ave & 119th St,1
1372,Public Rack - Michigan Ave & 96th St,2
1073,Public Rack - Midway Orange Line,12
901,Public Rack - Milwaukee Ave & Addison St,59
697,Public Rack - Milwaukee Ave & Diversey Ave,312
843,Public Rack - Milwaukee Ave & Haussen Ct,107
858,Public Rack - Milwaukee Ave & School St,91
844,Public Rack - Monticello Ave & Belmont Ave,105
1404,Public Rack - Morgan St & 95th St,2
857,Public Rack - Mozart Elementary School,91
1232,Public Rack - Mt Greenwood Library N,4
1166,Public Rack - N Narragansett Ave & Grand Ave,6
948,Public Rack - Nagle Ave & Belmont Ave,38
1074,Public Rack - Narragansett Ave & Fullerton Ave,12
1291,Public Rack - Neva Ave & Grand Ave,3
1521,Public Rack - Newcastle Ave & Belmont Ave,1
1435,Public Rack - Nordica Ave & Addison St,2
1106,Public Rack - Normal Ave & 111th St,9
1542,Public Rack - Oakley Ave & 50th Pl,1
1126,Public Rack - Oketo Ave & Belmont Ave,8
1534,Public Rack - Ozark Ave & Addison St,1
1374,Public Rack - Parnell Ave & 103rd St,2
1367,Public Rack - Paxton Ave & 79th St,2
983,Public Rack - Penn Elementary School / KIPP Ascend Middle School,30
1343,Public Rack - Percy Julian HS,2
1341,Public Rack - Perry Ave & 108th Pl,2
1382,Public Rack - Perry Ave & 111th St,2
1223,Public Rack - Peterson Ave & Bernard Ave,5
1351,Public Rack - Peterson Ave & Drake Ave,2
1136,Public Rack - Prairie Ave & 47th St ,8
1149,Public Rack - Prairie Ave & Garfield Blvd,7
1419,Public Rack - Prairie Ave & Garfield Blvd N,2
1099,Public Rack - Pulaski & 52nd,10
1318,Public Rack - Pulaski Rd & 15th St,3
1311,Public Rack - Pulaski Rd & 40th St,3
949,Public Rack - Pulaski Rd & 44th St,38
1282,Public Rack - Pulaski Rd & 51st Rd,3
1286,Public Rack - Pulaski Rd & 5th Ave,3
1142,Public Rack - Pulaski Rd & 65th St,7
806,Public Rack - Pulaski Rd & Armitage Ave,136
1418,Public Rack - Pulaski Rd & Flournoy St,2
950,Public Rack - Pulaski Rd & Fullerton Ave,38
1190,Public Rack - Pulaski Rd & Grenshaw St,5
1118,Public Rack - Pulaski Rd & Lake St,8
1143,Public Rack - Pulaski Rd & Roosevelt Rd,7
1558,Public Rack - Pulaski Rd &amp; 65th St,1
1483,Public Rack - Pullman - Planet Fitness,1
1125,Public Rack - Pullman - Walmart,8
1384,Public Rack - Pullman Community Center,2
906,Public Rack - Racine Ave & 109th Pl,57
1458,Public Rack - Racine Ave & 74th St,1
1378,Public Rack - Racine Ave & 76th,2
1414,Public Rack - Richmond St & Thorndale Ave,2
1524,Public Rack - Robert Fulton Elementary School,1
1208,Public Rack - Rockwell & 111th St,5
920,Public Rack - Rockwell & Division,49
869,Public Rack - Rockwell Ave & Touhy Ave ,81
1454,Public Rack - Roscoe St & Osceola Ave,1
1497,Public Rack - Roswell B. Mason Elementary School,1
1451,Public Rack - Rutherford Ave & Belmont Ave,1
911,Public Rack - Sacramento Ave & Devon Ave,54
981,Public Rack - Sacramento Ave & Greenleaf Ave,30
1179,Public Rack - Sacramento Blvd & Division St,6
1315,Public Rack - Saginaw Ave & 93rd St,3
1257,Public Rack - Sawyer Ave & Bryn Mawr Ave - SE,4
1145,Public Rack - Sawyer Ave & Bryn Mawr Ave - SW,7
1453,Public Rack - Sawyer Ave & Chicago Ave,1
947,Public Rack - Sawyer Ave & Lawrence Ave,39
1052,Public Rack - South Shore Dr & 71st St,14
998,Public Rack - Spaulding Ave & Bryn Mawr Ave,25
779,Public Rack - Spaulding Ave & Evergreen Ave,171
993,Public Rack - Spaulding Ave & Foster Ave,27
785,Public Rack - Spaulding Ave & North Ave,164
1569,Public Rack - Spencer Elementary Technology Academy,1
1002,Public Rack - St Louis Ave & Berteau Ave,25
934,Public Rack - State ST & 42nd St,43
1152,Public Rack - Stewart Ave & 123rd St,7
1271,Public Rack - Stony Island & 87th St,4
1335,Public Rack - Talman Ave & Pershing Rd,3
1089,Public Rack - Throop St & 109th Pl,11
1021,Public Rack - Tripp Ave & North Ave,19
1555,Public Rack - Union Ave & 111th St,1
1308,Public Rack - Vincennes Ave & 95th St,3
1461,Public Rack - Wabash Ave & 87th St,1
1003,Public Rack - Walden Pkwy & 103rd St,25
1383,Public Rack - Walden Pkwy & 99th St,2
1295,Public Rack - Wallace St & 119th St,3
1441,Public Rack - Washington Park Ct & 51st St,2
797,Public Rack - Washtenaw Ave & Devon Ave,151
871,Public Rack - Washtenaw Ave & Superior St,79
1536,Public Rack - Wentworth Ave & 79th St,1
1481,Public Rack - West Chatham Park,1
1571,Public Rack - Western Ave & 100th St,1
1312,Public Rack - Western Ave & 104th St - East,3
1485,Public Rack - Western Ave & 104th St - West,1
1526,Public Rack - Western Ave & 106th St - East,1
1297,Public Rack - Western Ave & 107th Pl,3
1356,Public Rack - Western Ave & 107th St,2
1092,Public Rack - Western Ave & 110th St,10
1590,Public Rack - Western Ave & 111th St - NW,1
1486,Public Rack - Western Ave & 116th St,1
1553,Public Rack - Western Ave & 118th St,1
1135,Public Rack - Western Ave & 47th Pl,8
1350,Public Rack - Western Ave & 79th St,2
1165,Public Rack - Western Ave & 92nd Pl,6
1027,Public Rack - Western Ave & 96th St,18
1359,Public Rack - Western Ave & 98th St,2
903,Public Rack - Western Ave & Devon Ave,59
879,Public Rack - Western Ave & Jarvis Ave,72
989,Public Rack - Western Blvd & 49th St,28
1361,Public Rack - Whipple St & 26th St,2
1079,Public Rack - Wood St & 103rd St,11
1184,Public Rack - Wood St & 47th St,6
872,Public Rack - Woodlawn Ave & 63rd St - NE,78
1049,Public Rack - Woodlawn Ave & 63rd St - SE,15
923,Public Rack - Woodlawn Ave & 63rd St N,48
1188,Public Rack - Woodlawn Ave & 63rd St S,5
1563,Public Rack - Yates Ave & 100th St,1
1331,Public Rack - Zapata Academy,3
1033,Pulaski & 52nd,17
798,Pulaski & Ann Lurie Pl,147
734,Pulaski Rd & 21st St,247
1326,Pulaski Rd & 40th St,3
1177,Pulaski Rd & 41st,6
830,Pulaski Rd & 44th St,116
962,Pulaski Rd & 51st Rd,35
600,Pulaski Rd & 51st St,637
874,Pulaski Rd & 60th St,77
1009,Pulaski Rd & Armitage Ave,22
654,Pulaski Rd & Congress Pkwy,411
522,Pulaski Rd & Eddy St (Temp),1824
966,Pulaski Rd & Fullerton Ave,34
628,Pulaski Rd & Lake St,489
1150,Pullman - Ross Dress for Less,7
1016,Pullman - Walmart,20
1506,Pullman Community Center,1
884,Racine Ave & 109th Pl,69
470,Racine Ave & 13th St,3116
381,Racine Ave & 15th St,7499
248,Racine Ave & 18th St,17954
475,Racine Ave & 35th St,2962
822,Racine Ave & 61st St,124
782,Racine Ave & 65th St,168
1134,Racine Ave & 74th St,8
1056,Racine Ave & 76th,13
116,Racine Ave & Belmont Ave,36428
267,Racine Ave & Congress Pkwy,15806
122,Racine Ave & Fullerton Ave,35352
462,Racine Ave & Fullerton Ave (Temp),3279
613,Racine Ave & Garfield Blvd,583
291,Racine Ave & Randolph St,13963
307,Racine Ave & Washington Blvd,12517
606,Racine Ave & Washington Blvd (*),609
220,Racine Ave & Wrightwood Ave,21415
574,Rainbow Beach,877
339,Ravenswood Ave & Berteau Ave,9705
280,Ravenswood Ave & Irving Park Rd,14717
123,Ravenswood Ave & Lawrence Ave,34804
313,Rhodes Ave & 32nd St,11953
771,Rhodes Ave & 71st St,181
1527,Rhodes Ave & 79th St,1
875,Richmond St & 59th St,77
393,Richmond St & Diversey Ave,6563
808,Richmond St & Lincoln Ave,135
514,Ridge Blvd & Howard St,2069
521,Ridge Blvd & Touhy Ave,1825
115,Ritchie Ct & Banks St,36577
931,Robert Fulton Elementary School,44
1194,Rockwell & 111th St,5
1059,Rockwell Ave & Touhy Ave ,13
805,Rockwell St & 57th St,138
970,Rockwell St & 63rd St,33
716,Rockwell St & Archer Ave,271
609,Rockwell St & Cermak Rd,602
369,Rockwell St & Eastwood Ave,7971
546,Rockwell St & Fletcher St,1299
889,Roscoe & Harlem,67
54,Rush St & Cedar St,50591
181,Rush St & Hubbard St,26675
69,Rush St & Superior St,47976
1213,Rutherford Ave & Belmont Ave,5
984,S Aberdeen St & W 106th St,30
1048,S Michigan Ave & E 118th St,15
1043,S Wentworth Ave & W 111th St,16
905,Sacramento Ave & 25th St,57
1141,Sacramento Ave & Devon Ave,7
1146,Sacramento Ave & Greenleaf Ave,7
770,Sacramento Ave & Pershing Rd,183
614,Sacramento Blvd & Addison St,572
553,Sacramento Blvd & Franklin Blvd,1143
842,Sacramento Blvd & Fulton Ave,107
914,Sacramento Blvd & Polk St,51
1450,Sacramento Blvd & Washington Blvd,1
1447,Sangamon St & 79th St,1
379,Sangamon St & Lake St,7564
191,Sangamon St & Washington Blvd,24941
1227,Sawyer Ave & 111th St,5
1164,Sawyer Ave & Bryn Mawr Ave - SE,6
474,Sawyer Ave & Irving Park Rd,3019
1220,Sawyer Ave & Lawrence Ave,5
710,Sayre & Diversey,281
119,Sedgwick St & Huron St,35896
90,Sedgwick St & North Ave,42723
296,Sedgwick St & Schiller St,13664
104,Sedgwick St & Webster Ave,39385
696,Seeley Ave & Garfield Blvd,316
278,Seeley Ave & Roscoe St,15132
849,Shabbona Park,102
21,Shedd Aquarium,65159
57,Sheffield Ave & Fullerton Ave,50046
112,Sheffield Ave & Kingsbury St,36968
51,Sheffield Ave & Waveland Ave,51502
77,Sheffield Ave & Webster Ave,45239
66,Sheffield Ave & Wellington Ave,48262
125,Sheffield Ave & Willow St,34281
87,Sheffield Ave & Wrightwood Ave,43948
473,Sheridan Rd & Argyle St,3048
194,Sheridan Rd & Buena Ave,24869
333,Sheridan Rd & Columbia Ave,10195
388,Sheridan Rd & Greenleaf Ave,7085
92,Sheridan Rd & Irving Park Rd,41739
254,Sheridan Rd & Lawrence Ave,17240
299,Sheridan Rd & Loyola Ave,13306
103,Sheridan Rd & Montrose Ave,39546
