,start_station_name,num_of_trips
1352,Jeffrey Blvd & 71st St,2
1024,Jonathan Y Scammon Public School,18
1205,Justine St & 87th St,5
1114,Karlov Ave & Kamerling Ave,9
686,Karlov Ave & Madison St,345
1353,Karlov Ave & Milwaukee Ave,2
1183,Kedvale Ave & 63rd St,6
1167,Kedvale Ave & Avondale Ave,6
1580,Kedzie & 103rd St - East,1
891,Kedzie Ave & 104th St,66
767,Kedzie Ave & 110th St,187
558,Kedzie Ave & 21st St,1030
595,Kedzie Ave & 24th St,662
816,Kedzie Ave & 45th St,127
597,Kedzie Ave & 48th Pl,654
786,Kedzie Ave & 52nd St,163
991,Kedzie Ave & 54th St - SE,27
1019,Kedzie Ave & 54th St - SW,19
690,Kedzie Ave & 57th St,335
1032,Kedzie Ave & 58th St,17
971,Kedzie Ave & 61st Pl,32
1025,Kedzie Ave & 63rd St,18
1304,Kedzie Ave & 64th St - SE,3
1110,Kedzie Ave & 64th St - SW,9
1081,Kedzie Ave & Archer Ave,11
1140,Kedzie Ave & Argyle St,7
479,Kedzie Ave & Bryn Mawr Ave,2808
500,Kedzie Ave & Chicago Ave,2441
460,Kedzie Ave & Foster Ave,3343
582,Kedzie Ave & George St,799
625,Kedzie Ave & Harrison St,511
509,Kedzie Ave & Lake St,2196
444,Kedzie Ave & Leland Ave,3862
155,Kedzie Ave & Milwaukee Ave,30131
312,Kedzie Ave & Palmer Ct,12068
1085,Kedzie Ave & Pershing Rd,11
584,Kedzie Ave & Roosevelt Rd,790
1530,Keeler Ave & 55th St,1
881,Keeler Ave & Roosevelt Rd,71
850,Kenneth Ave & 50th St,101
1207,Kenneth Ave & 63rd St,5
713,Kenosha & Wellington,275
722,Kenton Ave & Madison St,264
877,Kenton Ave & Palmer St,73
487,Keystone Ave & Fullerton Ave,2626
1112,Keystone Ave & Irving Park Rd,9
498,Keystone Ave & Montrose Ave,2455
1008,Keystone Ave & North Ave,22
750,Kilbourn & Belden,206
675,Kilbourn & Roscoe,363
1265,Kilbourn Ave & Fullerton Ave,4
545,Kilbourn Ave & Irving Park Rd,1303
550,Kilbourn Ave & Milwaukee Ave,1190
885,Kildare & Cermak,69
919,Kildare Ave & 26th St,49
840,Kildare Ave & 47th St,108
913,Kildare Ave & 55th St,52
1238,Kildare Ave & 63rd St,4
958,Kildare Ave & Chicago Ave,35
1502,Kildare Ave & Division Ave,1
961,Kildare Ave & Division St,35
516,Kildare Ave & Montrose Ave,2062
1401,Kildare Ave & Washignton Blvd,2
784,Kilpatrick Ave & Grand Ave,165
662,Kilpatrick Ave & Parker Ave,394
413,Kimball Ave & Belmont Ave,5625
1127,Kimball Ave & Carmen Ave,8
133,Kimbark Ave & 53rd St,33405
1277,Kimbark Ave & 63rd St,3
937,Kimbark Ave & 67th St,41
48,Kingsbury St & Erie St,52426
7,Kingsbury St & Kinzie St,85938
520,Knox Ave & Montrose Ave,1971
1046,Kolin Ave & Archer Ave,15
723,Komensky Ave & 31st St,259
801,Komensky Ave & 55th St,145
1060,Komensky Ave & 59th St,13
401,Kosciuszko Park,6126
836,Kostner Ave & 63rd St,112
615,Kostner Ave & Adams St,564
796,Kostner Ave & Armitage Ave,151
749,Kostner Ave & Lake St,206
1185,Kostner Ave & North Ave,6
704,Kostner Ave & Wrightwood Ave,295
888,La Villita Park (Albany/30th),67
111,LaSalle Dr & Huron St,37005
290,LaSalle St & Adams St,14119
35,LaSalle St & Illinois St,60752
127,LaSalle St & Jackson Blvd,34022
182,LaSalle St & Washington St,26588
1431,Lafayette Ave & 119th St,2
1369,Lafayette Ave & 87th St - NW,2
1189,Lafayette Ave & 87th St - SW,5
944,Lafayette Ave & 95th St,40
1442,Laflin St & 51st St,2
1513,Laflin St & 79th St,1
384,Laflin St & Cullerton St,7281
340,Lake Park Ave & 35th St,9693
1552,Lake Park Ave & 44th St,1
383,Lake Park Ave & 47th St,7301
253,Lake Park Ave & 53rd St,17369
245,Lake Park Ave & 56th St,18188
166,Lake Shore Dr & Belmont Ave,28747
164,Lake Shore Dr & Diversey Pkwy,28846
46,Lake Shore Dr & Monroe St,53409
60,Lake Shore Dr & North Blvd,49474
199,Lake Shore Dr & Ohio St,24138
145,Lake Shore Dr & Wellington Ave,31745
82,Lakefront Trail & Bryn Mawr Ave,44612
187,Lakefront Trail & Wilson Ave,25396
25,Lakeview Ave & Fullerton Pkwy,63662
1522,Lamon Ave & Archer Ave,1
772,Lamon Ave & Armitage Ave,181
683,Lamon Ave & Belmont Ave,349
892,Lamon Ave & Chicago Ave,65
1240,Langley Ave & 105th Pl,4
1070,Langley Ave & 79th St,12
1094,Laramie Ave & Belmont Ave,10
1124,Laramie Ave & Fullerton Ave,8
758,Laramie Ave & Gladys Ave,196
1172,Laramie Ave & Grand Ave,6
665,Laramie Ave & Kinzie St,382
622,Laramie Ave & Madison St,527
176,Larrabee St & Armitage Ave,27521
140,Larrabee St & Division St,32313
80,Larrabee St & Kingsbury St,44839
263,Larrabee St & Menomonee St,16006
237,Larrabee St & North Ave,19491
224,Larrabee St & Oak St,21012
17,Larrabee St & Webster Ave,67640
674,Latrobe Ave & Chicago Ave,363
1247,Latrobe Ave & Lake St,4
708,Lavergne & Fullerton,288
941,Lavergne Ave & 46th St,41
912,Lavergne Ave & Division St,52
701,Lawler Ave & 50th St,304
666,Lawndale Ave & 111th St,377
878,Lawndale Ave & 16th St,72
742,Lawndale Ave & 30th St,224
975,Lawndale Ave & Diversey Ave,31
1559,Lawndale Ave & Polk St,1
1379,Lawrence Ave & 103rd St,2
916,Leamington Ave & Hirsch St,49
389,Leavitt St & Addison St,7006
511,Leavitt St & Archer Ave,2180
282,Leavitt St & Armitage Ave,14615
337,Leavitt St & Belmont Ave,9797
703,Leavitt St & Belmont Ave (*),301
303,Leavitt St & Chicago Ave,13030
326,Leavitt St & Division St,10556
652,Leavitt St & Division St (*),414
375,Leavitt St & Lawrence Ave,7758
251,Leavitt St & North Ave,17513
1478,Legler Regional Library,1
350,Lincoln Ave & Addison St,9239
617,Lincoln Ave & Balmoral Ave,555
271,Lincoln Ave & Belle Plaine Ave,15680
219,Lincoln Ave & Belmont Ave,21628
417,Lincoln Ave & Belmont Ave (Temp),5408
100,Lincoln Ave & Diversey Pkwy,39867
37,Lincoln Ave & Fullerton Ave,58718
691,Lincoln Ave & Peterson Ave,332
209,Lincoln Ave & Roscoe St,23125
1310,Lincoln Ave & Roscoe St - Charging,3
399,Lincoln Ave & Roscoe St*,6344
279,Lincoln Ave & Sunnyside Ave,14920
294,Lincoln Ave & Waveland Ave,13799
392,Lincoln Ave & Winona St,6662
107,Lincoln Park Conservatory,38120
519,Lincolnwood Dr & Central St,1985
1428,Linder Ave & Belmont Ave,2
639,Lockwood Ave & Wrightwood Ave,450
275,Logan Blvd & Elston Ave,15345
589,Long & Irving Park,721
759,Long Ave & Belden Ave,194
731,Long Ave & Belmont Ave,254
908,Long Ave & North Ave,55
1170,Longwood Dr & 111th St,6
1556,Loomis Blvd & 83rd St,1
671,Loomis Blvd & 84th St,370
990,Loomis St & 87th St,28
760,Loomis St & 89th St,192
448,Loomis St & Archer Ave,3727
257,Loomis St & Jackson Blvd,17047
65,Loomis St & Lexington St,48595
620,Loomis St & Lexington St*,532
1429,Lorel Ave & Chicago Ave,2
1439,Lowe Ave & 98th St,2
1020,Lowell Ave & Elston Ave,19
1488,Lyft Driver Center Private Rack,1
210,MLK Jr Dr & 29th St,22884
502,MLK Jr Dr & 47th St,2396
549,MLK Jr Dr & 56th St,1225
556,MLK Jr Dr & 63rd St,1054
689,MLK Jr Dr & 83rd St,336
437,MLK Jr Dr & Pershing Rd,4232
1129,MTL-ECO5.1-01,8
672,MTV Hubbard St,368
1233,Mackinaw Ave & 106th St,4
1415,Mackinaw Ave & 108th St,2
1532,Mackinaw Ave & 85th St,1
876,Major Ave & Bloomingdale Ave,76
718,Major Taylor Trail & 115th St,270
762,Major Taylor Trail & 124th St,190
543,Malcolm X College,1313
466,Malcolm X College Vaccination Site,3179
424,Manor Ave & Leland Ave,5196
866,Maplewood Ave & 59th St,84
523,Maplewood Ave & Peterson Ave,1806
200,Marine Dr & Ainslie St,24105
1012,Marquette Ave & 79th St,21
717,Marquette Ave & 89th St,270
591,Marshfield Ave & 44th St,707
1119,Marshfield Ave & 45th St,8
804,Marshfield Ave & 59th St,140
1457,Marshfield Ave & 87th St,1
346,Marshfield Ave & Cortland St,9483
900,Martin Luther King Dr & 111th St,60
